1892,臺北車站(開封)
9447,故宮博物院
5973,建安新村
1945,南昌路
1807,安泰公園
2785,胡適國小
2174,黎順里
20296,樂業街
143,石壁坑福德宮
20271,大油坑
2400,石壁坑
571,士林分局
1001472,紅柿下
14608,陽明山(紗帽)
2421,指南山莊
1001155,大南路口
1000726,南深路80號
874,新安路四
56097,貓空站(小天空步道)
1001308,舊莊二站
600,工業區
1001259,麗山橋
188,行義路四
60146,新安路三
1851,三元南海路口
726,東方寺
1535,八德中坡路口
4747,臺北郵局(撫臺街洋樓)
7247,明德路
1914,成功中學(林森)
55013,東方寺
20399,市立工農(正門)
3995,慈航寺
2194,大我新舍
1715,興華路
4815,下菁礐
1500,市民光復路口
1398,懷生國小
20356,中崙
1297,明勝里
5067,義方國小
5979,福安消防隊
1000751,興隆路口(辛亥)
1001325,內雙溪自然中心
9469,半嶺
1273,林森北路一
1000859,指南宮
1586,微風廣場
1001441,菁山里(三)
684,石油新村
6016,臥龍新村
14402,川瀨
50407,週美里一
1000257,新民路底
865,新安
2313,捷運古亭站(杭州)
233,東昇路口
1702,富德公墓
6693,光華商場
1001090,錦州街口
1848,二二八和平公園
161,日月農莊
4877,仙岩公園
569,士林
3986,濱江商圈
4032,克勤新村
212,奇岩一站
20227,北投文物館
1842,臺北護理健康大學
8608,環山路
1000913,萬金路口
14510,政大圖書館
1032,行忠行愛路口
55005,三重里
5055,南港抽水站
4839,觀景台
1264,明水路一
14629,榮光新村(榮總東院)
9441,通北街口
1000018,內湖派出所
841,菁山里(三)
3990,復興中學
1783,桂林路
14672,臺灣戲曲中心
2466,景福街
1890,臺北車站(青島)
20354,時報大樓
2171,黎安里
942,臨江園
5059,大同街口
1000964,士林監理站
936,擎天崗
2074,玄覺寺
4818,老人自費安養中心
9479,平等國小
1000096,華江派出所
394,清天宮
1290,長安國小(吉林)
7225,洲美里
9463,前半嶺
1774,長沙街
1000862,行仁里
16266,中山區公所
2487,溪口國小
1001045,衛生福利部
1817,萬華醫院
1001443,精技大樓
82,陽明書屋
7210,新北投
20240,振興街
944,聯勤陽明山招待所
1760,和德里
688,光興宮
1884,臺北車站(公園)
1000567,天壽里
213,奇岩新村
4710,德行忠誠路口
9485,沙崙
20369,捷運奇岩站(北投)
4879,麥田紫藤
14410,陳厝
1001479,萬福國小
1001453,菁山里(一)
911,台北海大
1001350,洲美里
1001387,政大二街
14674,天山里
704,妙法寺
6686,衡陽路口
873,新安路六
6022,龍門國中(建國)
14619,福德廟(石牌)
1000391,關渡路口
9474,大坪尾
1102,堤頂大道口
592,小油坑服務站
1753,西門市場(漢中)
1918,自來水博物館(太子學舍)
2003,景福門
55009,岩山里一
1268,明水路三
50094,舊莊公園
2012,平菁街93巷
20300,十八份
4622,果菜市場
1011,瑞陽三號公園
1001085,錦州街口
1963,重慶南路一段
14675,東和公園
833,童軍站
461,源之鄉
1000812,下塔悠
1916,自來水西分處(寧波)
712,岩山里一
20404,紫陽
328,荒山劇場
996,新湖行善路口
1296,長春國小
2031,土地銀行
50093,舊莊站
20333,下七股(花藝村溫泉會館)
227,立法院
4163,黎安里
775,倫仔尾
1000803,飛航服務總台
14694,研創中心
327,草湳
163,地熱谷
2398,指南國小
5999,南京西路口(鈕釦街)
1001386,望遠亭(老泉里)
4811,石潭成功路口
1736,市民光復路口
395,清江里
9495,大坪尾一
20346,興雅國中
456,新北投
1000790,合誠宮
1001461,陽明公園後門
626,公館里
1903,臺北商大(濟南)
1139,精技大樓
50422,安泰里
2175,黎雙公園
868,新安里西站
2439,救千宮
2105,松壽路口
1688,軍人公墓(正門)
1001339,景華街一
285,春天酒店
7215,行義路
4814,潭美國小(行善)
1451,迪化街
828,富洲里八段
1001295,新民國中
359,捷運北投站(育仁)
1034,行善宮
4974,安湖站
60148,新安路一
2416,政大學苑
4899,捷運南港軟體園區站
4045,承德橋站
4821,行善石潭路口
14423,格致大亨路口
1361,新生公園
